Date,ProductName,Quantity,UnitPrice,StoreLocation,ProductID,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerID,CustomerFeedback,DeliveryTime_min,OrderType,StaffID,DayOfWeek,TotalSales
2023-01-01 00:00:00,Vanilla Cake,2,12.532304149429804,South,0,Cash,True,Rainy,20.654913930695127,Poor,0,Neutral,30,In Store,0,Sunday,25.064608298859607
2023-01-01 01:00:00,Red Velvet Cake,1,7.083069895947755,South,1,Cash,False,Rainy,23.54949697205013,Average,1,Positive,33,In Store,1,Sunday,7.083069895947755
2023-01-01 02:00:00,Chocolate Cake,5,6.736064100180581,North,2,Cash,True,Rainy,27.154342182681738,Excellent,2,Unknown,43,Phone Order,2,Sunday,33.68032050090291
2023-01-01 03:00:00,Carrot Cake,2,7.314823479246191,North,3,Cash,False,Cloudy,20.13748325275725,Poor,3,Positive,32,Online Order,3,Sunday,14.629646958492382
2023-01-01 04:00:00,Pizza Pepperoni,1,7.577727219906418,East,4,Credit Card,True,Cloudy,23.02098654190831,Good,4,Neutral,58,In Store,4,Sunday,7.577727219906418
2023-01-01 05:00:00,Red Velvet Cake,2,14.568156389954508,West,1,Cash,True,Rainy,27.154342182681738,Poor,5,Neutral,30,Phone Order,5,Sunday,29.136312779909016
2023-01-01 06:00:00,Red Velvet Cake,3,16.114718754118677,North,1,Credit Card,False,Cloudy,29.201027697832565,Excellent,6,Unknown,15,In Store,6,Sunday,48.34415626235603
2023-01-01 07:00:00,Carrot Cake,5,12.94987284389628,West,3,Online,False,Sunny,27.154342182681738,Average,7,Positive,16,Online Order,7,Sunday,64.74936421948141
2023-01-01 08:00:00,Carrot Cake,4,17.435265988182366,East,3,Cash,True,Rainy,27.154342182681738,Poor,8,Neutral,29,Phone Order,8,Sunday,69.74106395272946
2023-01-01 09:00:00,Pizza Margherita,2,19.8689484010045,West,5,Credit Card,False,Rainy,20.42287010670833,Average,9,Neutral,53,In Store,9,Sunday,39.737896802009
2023-01-01 10:00:00,Chocolate Cake,3,17.30018943679034,South,2,Online,False,Cloudy,27.154342182681738,Good,10,Neutral,42,In Store,10,Sunday,51.90056831037102
2023-01-01 11:00:00,Carrot Cake,4,15.423235605139388,West,3,Online,False,Rainy,33.22228729383366,Poor,11,Positive,15,In Store,11,Sunday,61.69294242055755
2023-01-01 12:00:00,Pizza Beef Double decker,4,12.9873904915572,East,6,Online,True,Sunny,26.238704814462643,Poor,12,Positive,19,Online Order,12,Sunday,51.9495619662288
2023-01-01 13:00:00,Cheesecake,2,11.732796075120625,East,7,Credit Card,False,Cloudy,30.805000537489896,Good,13,Negative,56,Phone Order,13,Sunday,23.46559215024125
2023-01-01 14:00:00,Pizza Pepperoni,1,6.265885708168135,East,4,Cash,False,Cloudy,33.77427553069937,Good,14,Positive,36,Phone Order,14,Sunday,6.265885708168135
2023-01-01 15:00:00,Chocolate Cake,2,10.990531225920364,West,2,Cash,True,Rainy,26.12060692404225,Good,15,Neutral,50,Phone Order,15,Sunday,21.981062451840728
2023-01-01 16:00:00,Pizza Beef Double decker,3,18.65201955173201,South,6,Credit Card,False,Rainy,22.86916056556096,Excellent,16,Negative,27,In Store,16,Sunday,55.956058655196045
2023-01-01 17:00:00,Vanilla Cake,4,17.120339448598294,North,0,Cash,False,Rainy,27.75676896285379,Excellent,17,Positive,15,Phone Order,17,Sunday,68.48135779439318
2023-01-01 18:00:00,Carrot Cake,2,8.240770475175308,South,3,Credit Card,True,Cloudy,33.62125530589782,Poor,18,Positive,30,In Store,18,Sunday,16.481540950350617
2023-01-01 19:00:00,Carrot Cake,1,11.999116770458238,West,3,Cash,True,Rainy,32.06561621206551,Poor,19,Positive,55,Online Order,19,Sunday,11.999116770458238
2023-01-01 20:00:00,Red Velvet Cake,2,17.25084803837817,West,1,Online,False,Sunny,20.987447650447308,Poor,20,Positive,36,Phone Order,20,Sunday,34.50169607675634
2023-01-01 21:00:00,Pizza Beef Double decker,5,6.010768321782837,North,6,Cash,False,Rainy,30.38859200116373,Average,21,Unknown,46,In Store,21,Sunday,30.053841608914187
2023-01-01 22:00:00,Red Velvet Cake,1,10.810888785029888,West,1,Credit Card,True,Rainy,28.578462836884302,Good,22,Positive,30,Phone Order,22,Sunday,10.810888785029888
